"Presidential General Election Returns by County, National Summary (2000)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (2000)","Dem. Votes","Dem. %","Rep. Candidate (2000)","Rep. Votes","Rep. %","Highest Other (2000)","Other Votes","Other %"
PA,BERKS,R,"Gore, Albert",59150,43.8,"Bush, George",71273,52.7,"Nader, Ralph",3494,2.6
PA,BLAIR,R,"Gore, Albert",15774,34.9,"Bush, George",28376,62.9,"Nader, Ralph",693,1.5
PA,BRADFORD,R,"Gore, Albert",7911,33.9,"Bush, George",14660,62.8,"Nader, Ralph",600,2.6
PA,BUCKS,D,"Gore, Albert",132914,50.5,"Bush, George",121927,46.3,"Nader, Ralph",6294,2.4
PA,BUTLER,R,"Gore, Albert",25037,35.4,"Bush, George",44009,62.1,"Nader, Ralph",1287,1.8
PA,CAMBRIA,D,"Gore, Albert",30308,50.3,"Bush, George",28001,46.4,"Nader, Ralph",1369,2.3
PA,CAMERON,R,"Gore, Albert",779,34.7,"Bush, George",1383,61.6,"Nader, Ralph",50,2.2
PA,CARBON,D,"Gore, Albert",10668,50.1,"Bush, George",9717,45.7,"Nader, Ralph",574,2.7
PA,CENTRE,R,"Gore, Albert",21409,43.2,"Bush, George",26172,52.8,"Nader, Ralph",1623,3.3
PA,CHESTER,R,"Gore, Albert",82047,43.7,"Bush, George",100080,53.4,"Nader, Ralph",4302,2.3
PA,CLARION,R,"Gore, Albert",5605,35.4,"Bush, George",9796,61.8,"Nader, Ralph",293,1.8
PA,CLEARFIELD,R,"Gore, Albert",11718,38.3,"Bush, George",18019,58.9,"Nader, Ralph",570,1.9
PA,CLINTON,R,"Gore, Albert",5521,46,"Bush, George",6064,50.6,"Nader, Ralph",307,2.6
PA,COLUMBIA,R,"Gore, Albert",8975,41,"Bush, George",12095,55.2,"Nader, Ralph",663,3
PA,CRAWFORD,R,"Gore, Albert",13250,39.8,"Bush, George",18858,56.6,"Nader, Ralph",854,2.6
PA,CUMBERLAND,R,"Gore, Albert",31053,35.3,"Bush, George",54802,62.2,"Nader, Ralph",1749,2
PA,DAUPHIN,R,"Gore, Albert",44390,44.1,"Bush, George",53631,53.3,"Nader, Ralph",2059,2
PA,DELAWARE,D,"Gore, Albert",134861,54.4,"Bush, George",105836,42.7,"Nader, Ralph",5348,2.2
PA,ELK,R,"Gore, Albert",5754,42.4,"Bush, George",7347,54.1,"Nader, Ralph",352,2.6
PA,ERIE,D,"Gore, Albert",59399,52.9,"Bush, George",49027,43.6,"Nader, Ralph",2980,2.7
PA,FAYETTE,D,"Gore, Albert",28152,56.8,"Bush, George",20013,40.4,"Nader, Ralph",798,1.6
PA,FOREST,R,"Gore, Albert",843,36.9,"Bush, George",1371,60.1,"Nader, Ralph",57,2.5
PA,FRANKLIN,R,"Gore, Albert",14922,30.5,"Bush, George",33042,67.5,"Nader, Ralph",761,1.6
PA,FULTON,R,"Gore, Albert",1425,27,"Bush, George",3753,71,"Nader, Ralph",77,1.5
PA,GREENE,D,"Gore, Albert",7230,53,"Bush, George",5890,43.2,"Nader, Ralph",337,2.5
PA,HUNTINGDON,R,"Gore, Albert",5073,31.8,"Bush, George",10408,65.2,"Nader, Ralph",340,2.1
PA,INDIANA,R,"Gore, Albert",13667,43.5,"Bush, George",16799,53.5,"Nader, Ralph",711,2.3
PA,JEFFERSON,R,"Gore, Albert",5566,31.7,"Bush, George",11473,65.3,"Nader, Ralph",339,1.9
PA,JUNIATA,R,"Gore, Albert",2656,30.6,"Bush, George",5795,66.9,"Nader, Ralph",158,1.8
PA,LACKAWANNA,D,"Gore, Albert",57471,59.6,"Bush, George",35096,36.4,"Nader, Ralph",2134,2.2
PA,LANCASTER,R,"Gore, Albert",54968,31.4,"Bush, George",115900,66.1,"Nader, Ralph",3341,1.9
PA,LAWRENCE,D,"Gore, Albert",20593,52,"Bush, George",18060,45.6,"Nader, Ralph",653,1.6
PA,LEBANON,R,"Gore, Albert",16093,35.1,"Bush, George",28534,62.2,"Nader, Ralph",873,1.9
PA,LEHIGH,D,"Gore, Albert",56667,48.7,"Bush, George",55492,47.7,"Nader, Ralph",3278,2.8
PA,LUZERNE,D,"Gore, Albert",62199,52,"Bush, George",52328,43.8,"Nader, Ralph",3456,2.9
PA,LYCOMING,R,"Gore, Albert",14663,34,"Bush, George",27137,62.8,"Nader, Ralph",965,2.2
PA,MCKEAN,R,"Gore, Albert",5510,34.9,"Bush, George",9661,61.1,"Nader, Ralph",403,2.5
PA,MERCER,D,"Gore, Albert",23817,48.9,"Bush, George",23132,47.5,"Nader, Ralph",1073,2.2
PA,MIFFLIN,R,"Gore, Albert",4835,33.1,"Bush, George",9400,64.3,"Nader, Ralph",264,1.8
